PatchName,sampler_results_Runtime(s),sampler_results_all_Runtime(s),sampler_results_BestFitness,sampler_results_all_BestFitness
GPRuntime_K,1547.36,3062.92,0,0
GPRuntime_C,1684.972,2318.404,340,795
GPRuntime_S,1439.228,2263.384,252,782
GPRuntime_U,1713.344,2321.644,413,871
GPMemory_K,1601.044,3130.569,0,1206499
GPMemory_C,1883.625,2498.216,0,0
GPMemory_S,1273.28,2307.04,0,0
GPMemory_U,1882.588,3060.544,0,0
GPFix_C_1,1543.716,2487.376,77,186
GPFix_K_1,506.816,3881.764,77,186
GPFix_S_1,1128.868,2992.336,77,186
GPFix_U_1,2442.052,2104.712,77,186
GPFix_C_2,60.456,565.576,0,0
GPFix_K_2,59.116,567.808,0,0
GPFix_S_2,156.524,231.868,0,0
GPFix_U_2,733.64,304.82,0,0
GPFix_C_3,331.236,704.424,0,0
GPFix_K_3,92.624,818.924,0,0
GPFix_S_3,397.656,392.18,0,0
GPFix_U_3,116.636,445.112,0,0
GPFix_C_4,116.29599999999999,754.988,0,0
GPFix_K_4,225.876,333.592,0,0
GPFix_S_4,107.684,766.892,0,0
GPFix_U_4,105.212,2143.364,0,0
GPFix_C_5,95.23599999999999,691.108,0,0
GPFix_K_5,105.636,563.352,0,0
GPFix_S_5,288.112,874.388,0,0
GPFix_U_5,361.824,924.96,0,0
GPFix_C_6,70.484,160.88400000000001,0,0
GPFix_K_6,67.356,155.448,0,0
GPFix_S_6,60.848,145.984,0,0
GPFix_U_6,71.212,156.59199999999998,1,0
GPFix_C_7,71.776,189.572,1,5
GPFix_K_7,73.336,194.324,1,5
GPFix_S_7,68.988,169.796,1,5
GPFix_U_7,74.612,206.344,1,5
